year,na_number,na_value,na_name,winner,winner_party,runnerup,runnerup_party,victory_margin,turn_out,winner_party_cat,runnerup_party_cat,streak3_flag,streak2_flag
2013,NA-199,199,NA-199 (SUKKUR-CUM-SHIKARPUR(II)(OLD SUKKUR-II)),Syed Khursheed Ahmed Shah,Pakistan Peoples Party Parliamentarians,Inayatullah,Pakistan Muslim League (F),21.75621333,57.35,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-200,200,NA-200 (GHOTKI-I),Ali Gohar Khan Mahar,Pakistan Peoples Party Parliamentarians,Khalid Ahmed Khan Lund,Independent,5.93809223,60.37,Pakistan Peoples Party Parliamentarians,Independent,1,0
2013,NA-201,201,NA-201 (GHOTKI-II),Ali Muhammad Khan Mahar,Pakistan Peoples Party Parliamentarians,Abdul Razzaque Mahar,Independent,63.09383789,58.44,Pakistan Peoples Party Parliamentarians,Independent,0,0
2013,NA-202,202,NA-202 (SHIKARPUR (OLD SHIKARPUR-I)),Aftab Shahban Mirani,Pakistan Peoples Party Parliamentarians,Muhammad Ibrahim Jatoi,National Peoples Party,0.165940233,56.05,Pakistan Peoples Party Parliamentarians,Other,0,0
2013,NA-203,203,NA-203 (SHEIKHUPUR-CUM-SUKKUR-CUM-LARKANA(OLD SHIKARPUR-II)),Ghous Bux Khan Mahar,Pakistan Muslim League (F),Sardar Wahid Bux Bhayo,Pakistan Peoples Party Parliamentarians,26.92953084,59.24,Other,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-204,204,NA-204 (Larkana (Old Larkana)),Mohammad Ayaz Soomro,Pakistan Peoples Party Parliamentarians,Mehtab Akbar Rashidi,Pakistan Muslim League (F),13.19009251,47.51,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-205,205,NA-205 (LARKANA-CUM-KAMBER SHAHDADKOT (OLD LARKANA-II)),Nazir Ahmed Bughio,Pakistan Peoples Party Parliamentarians,Safdar Ali Abbasi,Independent,35.06120888,51.19,Pakistan Peoples Party Parliamentarians,Independent,1,0
2013,NA-206,206,NA-206 (KAMBER SHAHDADKOT (OLD LARKANA-III)),Mir Aamir Ali Khan Magsi,Pakistan Peoples Party Parliamentarians,Asgher Shah Rashdi,Sindh United Party,56.89247582,47.31,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-207,207,NA-207 (LARKANA-CUM-SHIKHARPUR-CUM-KAMBER SHAHDADKOT (OLD LARKANA-IV)),Faryal Talpur,Pakistan Peoples Party Parliamentarians,Ghanva Bhutto,Pakistan Peoples Party (Shaheed Bhutto),38.44317657,54.24,Pakistan Peoples Party Parliamentarians,Other,0,0
2013,NA-208,208,NA-208 (JACOBABAD (OLD JACOBABAD-I)),Aijaz Hussain Jakhrani,Pakistan Peoples Party Parliamentarians,Illah Bukhsh Soomro,Pakistan Muslim League (N),4.990256391,43.14,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),1,0
2013,NA-209,209,NA-209 (JACOBABAD-CUM-KASHMORE(OLD JACOBABAD-II)),Mir Shabbir Ali Bijarani,Pakistan Peoples Party Parliamentarians,Mir Hassan Khoso,Pakistan Muslim League (F),8.759713488,46.62,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-210,210,NA-210 (KASHMORE (OLD JACOBABAD-III)),Ihsan ur Rahman Mazari,Pakistan Peoples Party Parliamentarians,Mir Ghalib Hussain Khan Domki,Independent,31.93435242,0.415,Pakistan Peoples Party Parliamentarians,Independent,0,0
2013,NA-211,211,NA-211 (NAUSHEHRO FEROZ-I),Rais Ghulam Murtaza Jatoi,National Peoples Party,Zulfiqar Ali Behan,Pakistan Peoples Party Parliamentarians,10.22886013,59.09,Other,Pakistan Peoples Party Parliamentarians,0,1
2013,NA-212,212,NA-212 (NAUSHEHRO FEROZ-II),Asghar Ali Shah,Pakistan Peoples Party Parliamentarians,Ghulam Rasool Khan Jatoi,National Peoples Party,18.54604834,62.82,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-213,213,NA-213 (NAWABSHAH-I),Dr Azra Fazal Pechuho,Pakistan Peoples Party Parliamentarians,Inayat Ali Rind,Muttahidda Qaumi Movement,36.27977388,0.58395673,Pakistan Peoples Party Parliamentarians,Muttahidda Qaumi Movement,1,0
2013,NA-214,214,NA-214 (NAWABSHAH-II),Syed Ghulam Mustafa Shah,Pakistan Peoples Party Parliamentarians,Ali Asghar Rind,Pakistan Muslim League (N),63.15199264,61.72,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),1,0
2013,NA-215,215,NA-215 (KHAIRPUR-I),Nawab Ali Wassan,Pakistan Peoples Party Parliamentarians,Syed Ghous Ali Shah,Pakistan Muslim League (N),15.09712876,60.92,Pakistan Peoples Party Parliamentarians,Pakistan Muslim League (N),1,0
2013,NA-216,216,NA-216 (KHAIRPUR-II),Pir Sadruddin Shah,Pakistan Muslim League (F),Sajid Ali Bambhan,Pakistan Peoples Party Parliamentarians,5.830130178,64.26,Other,Pakistan Peoples Party Parliamentarians,1,0
2013,NA-217,217,NA-217 (KHAIRPUR-III),Syed Qazim Ali Shah,Pakistan Muslim League (F),Syed Javed Ali Shah Jillani,Pakistan Peoples Party Parliamentarians,2.431809498,61,Other,Pakistan Peoples Party Parliamentarians,0,0
2013,NA-218,218,NA-218 (MATIARI-CUM-HYDERABAD (OLD HYDERABAD-I)),Makhdoom Muhammad Ameen Fahim,Pakistan Peoples Party Parliamentarians,Abdul Razzaque,Pakistan Muslim League (F),13.23108547,62.85,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-219,219,NA-219 (HYDERABAD-I (OLD HYDERABAD-II)),Khalid Maqbool Siddiqui,Muttahidda Qaumi Movement,Ali Muhammad Sehto,Pakistan Peoples Party Parliamentarians,71.88524217,58.81,Muttahidda Qaumi Movement,Pakistan Peoples Party Parliamentarians,1,0
2013,NA-220,220,NA-220 (HYDERABAD-II (OLD HYDERABAD-III)),Syed Waseem Hussain,Muttahidda Qaumi Movement,Abul khair Mohammad Zubair,Jamiat Ulma-e-Pakistan (Noorani),76.55990437,60.03,Muttahidda Qaumi Movement,Other,0,1
2013,NA-221,221,NA-221 (HYDERABAD-CUM-MATIARI (OLDHYDERABAD-IV)),Syed Amir Ali Shah Jamote,Pakistan Peoples Party Parliamentarians,Rajab Ali,Sindh Taraqi Passand Party (STP),35.92215351,52.02,Pakistan Peoples Party Parliamentarians,Other,1,0
2013,NA-222,222,NA-222 (TANDO MUHAMMAD KHAN-CUM-HYDERABAD-CUM-BADIN (HYDERABAD-V)),SYED NAVEED QAMAR,Pakistan Peoples Party Parliamentarians,PIR SAJJAD SAEED JAN SIRHANDI,Pakistan Muslim League (F),46.21381832,59.08,Pakistan Peoples Party Parliamentarians,Other,1,0
