"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-215","215","NA-215 Khairpur-I","Mr.Manzoor Hussain Wasan","Pakistan Peoples Party Parliamentarians","Mr.Sher Mohammad Phulpoto","Independent","22.4","38.38143410","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-217","217","NA-217 Khairpur-III","Pir Syed Fazal Ali Shah Jillani","Pakistan Peoples Party Parliamentarians","Syed Moharram Ali Shah","Pakistan Muslim League (F)","6.4","38.07696540","Pakistan Peoples Party Parliamentarians","Other"
2002,"NA-218","218","NA-218 Hyderabad-I","Makhdoom Muhammad Amin Faheem","Pakistan Peoples Party Parliamentarians","Mr.Rasool Bux Memon","Muttahida Qaumi Movement","86.9","40.95463391","Pakistan Peoples Party Parliamentarians","Muttahida Qaumi Movement"
2002,"NA-221","221","NA-221 Hyderabad-IV","Syed Amir Ali Shah Jamot","Pakistan Peoples Party Parliamentarians","Syed Shahabuddin Shah","Pakistan Muslim League (Q)","45.8","31.17475333","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-222","222","NA-222 Hyderabad-V","Syed Naveed Qammar","Pakistan Peoples Party Parliamentarians","Pir Sajjad Saeed Jan Sarhandi","National Alliance","20.2","35.97152764","Pakistan Peoples Party Parliamentarians","National Alliance"
2002,"NA-223","223","NA-223 Hyderabad-VI","Mr.Shamshad Sattar Bachani","Pakistan Peoples Party Parliamentarians","Adeeba Gul Magsi","Independent","21.9","36.62092749","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-224","224","NA-224 Badin-I","Mr.Ghulam Ali Nizamani","Pakistan Peoples Party Parliamentarians","Mr.Muhammad Akram Nizamani","Independent","3.1","38.87537477","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-225","225","NA-225 Badin-II","Dr. Fehmida Mirza","Pakistan Peoples Party Parliamentarians","Mr.Khan Mohammad Halipota","Pakistan Muslim League (Q)","34.0","37.69849946","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-226","226","NA-226 Mirpurkhas-I","Pir Aftab Hussain Shah Jilani","Pakistan Peoples Party Parliamentarians","Rais Ahmed Khan","Muttahida Qaumi Movement","24.1","45.12329155","Pakistan Peoples Party Parliamentarians","Muttahida Qaumi Movement"
2002,"NA-227","227","NA-227 Mirpurkhas-II","Syed Qurban Ali Shah","Pakistan Peoples Party Parliamentarians","Mr.Shabbir Ahmed Qaim Khani","Muttahida Qaumi Movement","32.2","42.41081218","Pakistan Peoples Party Parliamentarians","Muttahida Qaumi Movement"
2002,"NA-228","228","NA-228 Mirpurkhas-III","Nawab Muhammad Yousuf Talpur","Pakistan Peoples Party Parliamentarians","Mr.Kishan Chand Perwani","National Alliance","8.1","43.69320442","Pakistan Peoples Party Parliamentarians","National Alliance"
2002,"NA-231","231","NA-231 Dadu-I","Nawab Abdul Ghani Talpur","Pakistan Peoples Party Parliamentarians","Syed Jalal Mehmood","Independent","30.2","36.14158742","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-232","232","NA-232 Dadu-II","Mr.Rafique Ahmed Jamali","Pakistan Peoples Party Parliamentarians","Mr.Ahmed Khan Lund","Pakistan Muslim League (Q)","14.3","37.32428904","Pakistan Peoples Party Parliamentarians","Pakistan Muslim League (Q)"
2002,"NA-248","248","NA-248 Karachi-X","Mr.Nabeel Ahmed Gabol","Pakistan Peoples Party Parliamentarians","Dr. Qari Naseeruddin Sawati","Muttahidda Majlis-e-Amal Pakistan","24.4","32.19545944","Pakistan Peoples Party Parliamentarians","Muttahidda Majlis-e-Amal Pakistan"
2002,"NA-258","258","NA-258 Karachi-XX","Mr.Sher Muhammad Baloch","Pakistan Peoples Party Parliamentarians","Mr.Abdul Hakeem Baloch","Independent","9.5","41.34088605","Pakistan Peoples Party Parliamentarians","Independent"
2002,"NA-8","8","?NA-8 Charsdda-II","Mr.Aftab Ahmad Khan Sherpao","Pakistan Peoples Party (Sherpao)","Mr.Iftikhar Khan Matta","Awami National Party","37.2","29.62424688","Other","Awami National Party"
2002,"NA-28","28","?NA-28 Buner","Mr.Sher Akbar Khan Advocate","Pakistan Peoples Party (Sherpao)","Mr.Abdul Mateen Khan","Awami National Party","19.1","28.39478643","Other","Awami National Party"
2002,"NA-220","220","NA-220 Hyderabad-III","Dr. Sahibzada Abul Khair Muhammad Zubair","Muttahidda Majlis-e-Amal Pakistan","Mr.Aftab Ahmed Shaikh Advocate","Muttahida Qaumi Movement","0.7","33.60184498","Muttahidda Majlis-e-Amal Pakistan","Muttahida Qaumi Movement"
2002,"NA-239","239","NA-239 Karachi-I","Hakim Qari Gul Rehman","Muttahidda Majlis-e-Amal Pakistan","Mr.Iftikhar Hussain","Pakistan Peoples Party Parliamentarians","0.9","33.22925392","Muttahidda Majlis-e-Amal Pakistan","Pakistan Peoples Party Parliamentarians"
2002,"NA-241","241","NA-241 Karachi-III","Mr.Muhammad Laeeq Khan","Muttahidda Majlis-e-Amal Pakistan","Mr.Feroze Uddin Rehmani","Muttahida Qaumi Movement","0.6","36.99010726","Muttahidda Majlis-e-Amal Pakistan","Muttahida Qaumi Movement"
2002,"NA-250","250","NA-250 Karachi-XII","Mr.Abdul Sattar Afghani","Muttahidda Majlis-e-Amal Pakistan","Mr.Nasreen Jalil","Muttahida Qaumi Movement","3.0","33.70740019","Muttahidda Majlis-e-Amal Pakistan","Muttahida Qaumi Movement"
2002,"NA-252","252","NA-252 Karachi-XIV","Mr.Muhammad Hussain Mehanti","Muttahidda Majlis-e-Amal Pakistan","Mr.Muhammd Intizar Hussain Qureshi Advocate","Muttahida Qaumi Movement","13.8","33.26965777","Muttahidda Majlis-e-Amal Pakistan","Muttahida Qaumi Movement"
2002,"NA-253","253","?NA-253 Karachi-XV","Mr.Asad Ullah Bhutto","Muttahidda Majlis-e-Amal Pakistan","Professor Dr. Muhammad Fahimud-Din","Muttahida Qaumi Movement","3.6","32.40390592","Muttahidda Majlis-e-Amal Pakistan","Muttahida Qaumi Movement"
