"year","na_number","na_value","na_name","winner","winner_party","runnerup","runnerup_party","victory_margin","turn_out","winner_party_cat","runnerup_party_cat"
2002,"NA-67","67","?NA-67 Sargodha-IV","Ch. Anwar Ali Cheema","Pakistan Muslim League (Q)","Mr.Shamas Naveed Cheema","Muttahidda Majlis-e-Amal Pakistan","31.2","49.13337197","Pakistan Muslim League (Q)","Muttahidda Majlis-e-Amal Pakistan"
2002,"NA-68","68","?NA-68 Sargodha-V","Mr.Mazhar Ahmed Qureshi","Pakistan Muslim League (Q)","Syed Mansoor Ali Shah","Pakistan Muslim League (N)","17.1","51.56286042","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-73","73","?NA-73 Bhakkar-I","Mr.Muhammad Sana Ullah Khan","Pakistan Muslim League (Q)","Mr.Abdul Majeed Khan Khanan Khel","Pakistan Muslim League (N)","20.4","62.84152600","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-74","74","?NA-74 Bhakkar-II","Ch. Shujat Hussain","Pakistan Muslim League (Q)","Dr.Muhammad Afzal Khan Dhandhla","Pakistan Muslim League (N)","17.7","61.98876559","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-75","75","?NA-75 Faisalabad-I","Lt Col ВЁ Ghulam Rasool Sahi","Pakistan Muslim League (Q)","Mr.Wajid Mustafa Bajwa","Pakistan Peoples Party Parliamentarians","14.9","45.31429416","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-76","76","?NA-76 Faisalabad-II","Mr.Muhammad Wasi Zafar","Pakistan Muslim League (Q)","Rai Salah-ud-Din Khan","Pakistan Muslim League (N)","11.5","44.82587013","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-77","77","?NA-77 Faisalabad-III","Ch. Muhammad Asim Nazir","Pakistan Muslim League (Q)","Mr.Muhammad Akram Chaudhary","Pakistan Muslim League (N)","28.1","47.06515595","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-78","78","?NA-78 Faisalabad-IV","Mr.Rajab Ali Khan Baluch","Pakistan Muslim League (Q)","Mr.Peerzada Muhammad Ashraf Zia","Pakistan Muslim League (N)","11.4","45.36242354","Pakistan Muslim League (Q)","Pakistan Muslim League (N)"
2002,"NA-79","79","?NA-79 Faisalabad-V","Mr.Muhammad Safdar Shaker","Pakistan Muslim League (Q)","Rana Muhammad Farooq Saeed Khan","Pakistan Peoples Party Parliamentarians","3.0","46.62986486","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-83","83","?NA-83 Faisalabad-IX","Mr.Mushtaq Ali Cheema","Pakistan Muslim League (Q)","Chaudhry Muhammad Ijaz Virk","Pakistan Peoples Party Parliamentarians","0.8","37.45100188","Pakistan Muslim League (Q)","Pakistan Peoples Party Parliamentarians"
2002,"NA-86","86","?NA-86 Jhang-I","Mr.Muhammad Tahir Shah","Pakistan Muslim League (Q)","Mr.Qaisar Ahmad Sheikh","Tehrik-e-Istaqlal","9.8","51.60891432","Pakistan Muslim League (Q)","Other"
